Gene_Name,Sequence_Name,Wormbase_ID,ADL,AFD,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,I5,IL1,IL2,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMD,VB,VC,VD
fbxa-63,Y119D3B.7,WBGene00022485,11.49506742,13.02754908,6.619982056,5.485212101,1.783651701,3.451347653,13.34182738,3.740226199,8.605634213,11.41063958,22.72976068,5.53629716,15.67945573,11.13764674,7.618636796,9.575038758,4.323186583,20.78019666,5.022039013,3.580927757,6.094322875,6.579874338,3.067066315,7.001363777,12.41001757,6.643608763,2.496568485,4.378521876,5.57043434,5.917159873,10.92247452,4.192348722,9.659888519,8.586602923,9.314652714,7.754700722,12.91908235,8.483290391,5.696708435,23.09379683,6.516656011
T07A9.10,T07A9.10,WBGene00020298,13.74678352,13.02302918,11.5264052,7.573317749,5.778968247,6.793450723,13.4813482,10.19082008,12.31052074,10.23717571,11.22636376,13.86624826,20.62807169,14.94337746,22.42331515,20.11651031,13.86287991,12.602183,9.193392012,18.86451679,23.65958717,28.49458173,15.83145554,14.4622113,16.62606178,11.74779913,44.34159994,20.90968383,22.21632978,29.14899832,27.40158166,14.64530845,20.63909015,11.04337231,15.64610009,12.25896629,27.87113883,16.45053428,18.83882986,17.8135251,28.24838005
riok-3,ZK632.3,WBGene00014012,17.31841836,13.02111572,13.71709441,11.7835682,4.63390145,4.881470042,20.69201778,12.82448013,9.079120797,17.95240977,36.46210394,19.77841931,38.5724134,36.22982354,27.08877712,24.58164567,15.26953552,28.56031608,16.350268,25.24296141,35.39914005,33.78380198,21.55782197,18.65752416,38.96559034,22.67131942,42.65422185,26.95455898,26.33059955,38.90686643,21.17515913,13.44227986,31.88497336,13.39219323,26.69002194,12.43095123,40.27060945,29.45458255,21.36901849,38.81817213,36.55243852
cox-15,T06D8.5,WBGene00011526,27.62206349,13.01814727,18.33072065,21.89114249,10.83384292,9.935445558,19.69138265,17.54332688,9.664796772,27.17082754,33.07286434,13.17449339,22.91106207,19.4793564,27.95143863,20.16712235,13.26957882,55.33681917,25.32699286,32.65044455,34.41200236,43.05333108,34.79353521,34.4938677,24.21038175,29.68555665,70.40842444,43.07718904,42.0366464,44.43613338,19.20875325,17.95572904,39.73000022,14.91409993,31.38796441,30.17529883,39.60431406,39.0466552,31.195056,21.04250732,41.603777
F25H2.6,F25H2.6,WBGene00009120,33.31695977,13.01800454,13.94440411,9.415987558,7.573491548,10.14315081,27.74638313,17.91889887,26.10480318,8.582217105,9.80987907,14.29225285,16.93371198,10.2111752,17.20110394,20.15898375,16.60531508,17.94351673,6.94710216,18.46439141,24.30003437,29.55186858,17.81547846,14.3364805,39.73118351,17.69670337,48.74940963,25.13817528,31.01022977,31.75279389,21.86717239,9.280818761,17.07479948,8.125365968,14.05500176,9.908995342,29.5431612,17.71561001,14.57655489,6.235813218,30.60487095
K11E4.t2,K11E4.t2,WBGene00014439,3.436247695,13.01711933,0.3328044,2.067559663,84.92423881,10.19581654,1.702068067,7.70218266,0,0,0,0,2.641023739,3.858675426,0,10.73170261,8.266690838,5.064687341,7.857658072,7.554126976,0.584169988,4.313601948,0.832115514,0,0,3.207657703,5.076526274,8.352915921,1.392375827,2.47653981,0,4.152974648,11.66580672,1.198685301,2.01674862,4.38584389,4.969623508,1.07322344,3.926911148,1.478828515,1.883090087
T06F4.9,T06F4.9,WBGene00197990,0,13.01249481,1.793744844,0,0.387181069,1.82967516,1.438230316,2.099723596,2.014257108,0,3.649517709,0,1.522947914,0,17.21493176,2.268810539,0,3.931600761,0.889137279,5.301939663,8.76904261,21.86182642,2.752678059,5.897297787,7.611295652,0,5.718063175,6.000522669,5.117600451,2.96280044,0,5.622111792,4.983777531,0.239082003,16.59236093,1.12470704,5.460801913,1.862625431,0,0,31.66936166
spas-1,C24B5.2,WBGene00016045,14.88894256,13.01216352,11.21732861,4.667484789,3.722021573,5.039579244,11.75691589,10.57545021,8.546043634,13.66289729,10.79680186,15.64347445,25.73901418,12.66744821,26.9271417,17.97582069,7.420098927,31.17930412,11.20956067,16.26867714,31.1173419,26.4022505,17.01050388,15.93965155,28.35169654,18.97702747,45.63687478,22.88299849,23.21256505,27.94889536,22.82315807,12.51724021,24.22551093,9.515752808,16.02029689,12.95584771,27.92275033,16.40469268,17.37783547,30.65367788,24.41695799
Y37D8A.19,Y37D8A.19,WBGene00012557,4.758686014,13.00450874,3.100157725,3.661104789,0.50655322,0,9.433045052,1.397829188,8.797705116,50.52249257,7.421111467,255.2485219,5.553466031,4.55804713,2.056073086,45.10468487,8.13528379,3.700811589,0.214398015,244.9304016,64.84219526,34.19740304,149.5197708,2.384816333,1.449482541,139.0592647,211.4216662,54.51843599,131.5846593,49.801698,1.296325467,30.07287511,8.331949642,18.51984516,132.6980346,0.490488861,131.5139867,12.68006089,125.2453487,6.056192829,7.493488999
T25G3.3,T25G3.3,WBGene00012030,33.06929576,13.00240424,19.2074688,18.89047021,10.07362744,9.415700919,24.15186458,24.02600307,11.21363332,24.82417703,37.72983371,14.2093616,48.17142072,36.5517024,32.99083786,26.3733992,20.34943198,61.43989574,16.69922401,37.36423576,38.53545291,36.97825586,31.22336073,26.41079282,41.48408364,36.84954843,48.41551857,40.22252205,36.9720311,50.94333143,30.68480278,16.17324474,40.23546431,12.04944604,28.78203162,22.04071239,37.16711534,37.15471087,25.2725515,31.46199103,53.2329156
K08E5.7,K08E5.7,WBGene00195588,11.02361176,12.99786581,54.16576879,3.235086775,9.594905397,11.65926195,4.340586135,12.32487535,12.42254189,9.172299597,8.211204545,74.55246341,17.74779503,15.49564089,86.99212738,2.751637583,5.720632591,14.5160827,34.57336483,1.78191881,41.16379328,47.65297731,12.58371236,34.03859226,22.29364803,4.971830152,21.19469432,7.248137012,16.33455383,5.556171239,33.44860606,37.7073814,15.94612942,11.1145271,12.76133135,9.826378817,17.38224423,23.72136536,20.32180999,0.872665105,35.88516035
acs-22,D1009.1,WBGene00017012,9.865191508,12.99060245,4.050473056,12.33000158,9.672125487,8.007159984,6.669081581,3.54806758,3.485252434,6.586597792,2.891001648,4.973700123,15.28433744,9.787842289,3.107857423,14.33694723,9.222379428,8.700413995,3.172910569,14.7479621,12.45105781,16.22499167,12.71042423,3.643787422,14.48844374,28.56601949,10.36087026,8.464446389,8.142985507,12.25438784,14.09995448,4.721033188,13.06053567,4.757119941,4.366492747,9.850561153,4.725175156,4.616425944,11.50743211,4.139683972,19.81424133
atgp-2,C38C6.2,WBGene00000225,23.76123426,12.9876757,25.58741819,14.15536411,4.676152863,9.387864216,15.26016372,19.57335463,22.11174863,20.61317511,17.54798677,46.27480105,50.96561845,45.5915884,89.55378315,30.42149307,18.85375031,43.86246519,17.60251097,41.34129835,38.52658317,38.47501964,18.81219382,29.25862003,75.29345853,15.01577885,30.44188989,26.86179952,32.37032963,29.40782365,43.91155975,50.14558347,38.54864372,36.17688712,44.63730897,28.9235911,39.02276228,64.37200357,27.40455131,30.75852635,41.28604039
pis-1,T13F2.3,WBGene00004031,10.49508867,12.98180492,10.07118952,9.282303483,5.022125717,6.641742248,12.2314594,19.81191715,10.83517136,8.526079029,8.835410297,16.40797981,25.1623479,11.03398533,18.03099785,18.55558558,10.3340491,19.97893129,12.20041267,15.75574555,31.89082138,30.50955004,14.50896789,17.2684447,23.95023553,11.75496852,44.25891148,22.08920247,22.3158453,27.97175702,18.00695823,13.61924853,20.35797754,9.308262143,12.97485715,13.34396172,29.56497007,18.02981936,13.68551468,13.07268315,26.96726132
nhr-70,Y51A2D.17,WBGene00003660,33.9841046,12.97431879,2.932990272,3.781542188,16.62627448,10.38088249,29.99271982,11.15832433,32.44079113,5.468664865,4.793740341,2.665775752,4.570733939,4.31743405,3.288895057,22.82396997,7.806918199,25.48349454,5.040006508,10.58085131,6.857769447,8.696749368,6.215279902,20.73788411,29.20446493,13.03657964,13.36417733,9.907544228,13.49951499,9.173435982,15.03083874,4.927424922,6.737579566,2.318556771,3.110432386,7.096434442,7.375989953,5.683146373,6.236164918,6.690126479,10.24980054
linc-151,M117.14,WBGene00219602,9.258594475,12.96057647,1.910736408,0.15988544,0.169785086,0.701035428,0.356102827,0.495845342,0.625082596,0.604025152,0.309883255,1.134997398,1.603064152,1.644931953,0.569757492,1.792913789,1.111267354,1.292027545,0.15230847,1.236518657,1.956422415,1.167774836,1.339157335,0.918611258,1.745521093,2.199025785,2.505553589,1.054979979,1.126324708,1.750163712,1.53664004,0,1.132796849,1.029531702,2.659040754,0.048451363,0.70342953,0.871987873,0.847055212,0.323062322,0.456815753
npp-6,F56A3.3,WBGene00003792,15.74529902,12.9548212,18.02370001,12.11473534,5.60559638,6.099125444,13.61796264,17.38818849,20.09296126,11.41190682,16.80384285,17.19342192,38.7733942,12.24267201,15.05762594,19.02436661,18.2712532,25.19267209,11.48503804,17.96627236,36.20766326,27.07150996,25.03362921,13.10902029,22.79599925,18.19130317,71.94560014,31.65358781,32.04456281,41.19946039,15.60503808,12.19947514,24.95055922,10.83023868,16.00710258,14.64688215,20.93757706,21.83656885,13.96268669,33.31550026,30.58390021
mvb-12,C06A6.3,WBGene00015508,25.0179994,12.95244448,15.81764543,15.05424483,4.274297692,8.0607487,30.2603166,19.1352904,19.88071048,20.14900715,13.65929754,14.99667282,26.00725504,18.08804164,30.77741843,33.00855433,11.18757781,37.10487416,15.99104169,15.75904685,21.95247362,24.42126075,10.25164327,18.13186967,22.79562832,19.97178897,15.75699015,12.72500078,22.40188881,17.84860668,32.23943976,15.34160328,21.11880115,9.201553713,17.79019869,10.60053971,30.74790799,20.31521475,24.75960259,22.20796826,20.59437217
Y48A6B.3,Y48A6B.3,WBGene00012964,52.44377023,12.94827895,27.39962168,28.74650787,37.2737011,24.08717892,27.51455873,59.16561427,25.98025237,32.15204225,59.03242056,26.66864908,43.50159797,51.94274318,70.72390881,27.76477703,42.71791804,128.6357285,30.47637497,97.34773175,75.99256564,69.14263913,65.16260725,97.17622896,55.1895874,93.96268698,96.94784745,102.6474642,85.15392561,80.95858243,51.94309301,54.62342023,97.06277484,29.27984311,34.9850396,66.89436318,59.66434676,52.32811257,72.06107938,35.14886473,117.3901976
B0350.85,B0350.85,WBGene00219785,6.5817885,12.94804663,37.20618233,4.893068748,7.781744507,28.57988719,26.56197927,9.682469464,9.664527041,21.32841157,5.484934162,2.191253415,27.4726379,6.814304084,53.23398279,23.6139674,8.422557242,8.711419702,11.13690493,12.90322205,32.7031242,31.17739075,20.74280894,50.91383775,72.15592895,8.251607028,24.93320213,13.31788165,11.51693935,22.18717817,33.72734993,7.579176851,11.28624335,7.408890632,19.88933379,0.571726078,31.34340406,30.85458455,17.46131897,9.30617867,17.85089117
F36H9.7,F36H9.7,WBGene00018115,2.65225702,12.94793212,67.6161193,57.62933454,7.574870403,9.790848277,1.02799672,8.333970189,6.052529913,62.05875385,28.28544484,59.18206093,26.68936857,1.988175818,34.37126498,5.22988098,3.505033158,14.24851324,6.526744184,8.770836654,16.256303,60.27197931,11.90885018,411.7921628,9.032801168,1.842742654,25.75517513,15.37568846,16.94911733,13.74232623,221.5579198,63.65658665,13.66581756,11.20377938,90.77953845,12.40787313,157.5265113,9.007154517,29.05643341,0.99904771,34.05790805
nmy-1,F52B10.1,WBGene00003776,13.92318989,12.94379438,15.02273891,25.77391259,15.12258377,15.77251622,10.95425087,19.52162655,18.1016381,29.49142924,16.5925804,52.26907989,48.28776838,22.97826949,19.00956424,42.06443487,32.26456448,27.41986051,11.09503212,115.1610642,77.3119143,50.76841533,98.99582922,26.21754994,24.44675151,31.13898736,189.8319861,76.73327975,109.3063334,88.29851479,23.94201048,23.47439187,43.09314145,18.03419658,39.34236935,29.14827087,51.4285154,39.59273918,34.56241633,15.55097288,74.02632055
K08B5.1,K08B5.1,WBGene00019518,1.391992002,12.93209929,1.305801528,1.982480082,0.39823651,0.544595295,1.166556844,0.74163444,0.264869488,0.93223472,1.411662026,0.376180913,4.54920152,1.363842588,3.150668025,1.301892481,1.654380375,2.218947185,1.174657955,5.354819059,2.644394882,1.947331434,2.300825946,2.45777493,0.518425286,2.5932201,1.304281243,2.09882465,3.35936964,2.749159688,3.659395559,0.547539934,1.674509948,1.424042022,0.956818117,1.291010362,2.884309146,1.486225092,4.141108743,0.609578355,2.174649487
F44E5.14,F44E5.14,WBGene00201752,58.76319892,12.92310435,43.61068858,0,18.81997293,1.896013205,47.07864382,12.15102275,25.32843943,20.57325688,11.99811253,71.22292356,29.43336798,16.55870105,27.72877402,51.71955184,25.65636497,29.44437619,22.05488394,17.85050551,46.18379789,30.05716884,7.739383621,33.55008629,86.12493141,17.37180816,20.24255674,11.30325831,19.25093109,10.24203073,28.40197889,11.24871555,21.13374986,32.11858928,17.273524,32.61386322,24.98515549,33.04204059,48.4815372,38.62090767,13.97119888
epac-1,T20G5.5,WBGene00004255,3.694789826,12.91860776,8.481120365,0.892817368,1.56658947,5.30263188,3.299607033,2.756519467,5.981170973,0.756530652,0.669335217,5.363898493,10.39000696,0.742395419,15.18912752,3.350353505,1.89949092,3.272524872,2.293817576,1.914212509,15.31173565,10.62467754,2.082044844,6.937246526,11.76927309,3.725930226,5.402044028,3.70579978,3.072678276,4.210961035,24.83943651,4.383033834,26.96805044,3.034928003,5.449604417,1.282453793,9.939817141,4.519557344,3.629766228,1.941874477,9.375769353
clu-1,F55H2.6,WBGene00000550,23.39146319,12.91711264,16.15159338,18.42916864,11.98118052,10.4857659,15.19126912,23.9354101,18.8543518,17.67295323,18.18063119,14.99337249,33.87324867,23.0473905,23.59210034,19.79576239,22.40894899,31.80814335,11.50080151,48.25992209,60.98409344,61.67666722,45.03436383,25.77791202,33.44092603,31.42806083,87.46279402,52.67015311,44.76866166,64.02306446,27.86744566,18.22666291,49.98147348,13.87345148,18.03374387,23.51953795,38.30869723,35.81832308,24.84415126,22.04272684,83.00102095
col-36,C27H5.5,WBGene00000613,20.27658046,12.91272595,82.87563663,57.01932379,6.158941322,48.96610269,8.08147377,40.94748878,2.44233089,25.51108315,16.18472712,16.74397444,648.4001287,52.13600699,74.70507224,17.68300698,192.2767157,62.46492111,29.50812109,61.87039299,10.53814824,137.8474689,31.51501527,12.69595993,73.91562507,13.09260219,15.431114,117.9425491,144.0669522,149.0541487,308.6045351,73.54631764,147.9920565,5.613869465,7.459654132,386.7662672,3.251268147,80.58000567,360.9767136,17.97380801,327.7108025
B0280.17,B0280.17,WBGene00044674,5.491668106,12.91115637,6.545496147,11.9308969,6.44991054,1.542983086,5.572174959,2.098070035,5.194848407,10.02824783,2.676656706,4.330997206,9.290297565,13.01801092,0.878544518,10.7159987,3.636053258,8.291024675,3.946832629,9.822569005,23.58207664,9.579387362,36.45967705,0.877716929,18.56530864,15.46497408,47.62004037,22.35415045,24.85793923,29.17605252,2.70128156,1.443834399,11.51730339,4.750074871,3.905415702,6.796612125,4.268077851,12.16848137,14.72906766,5.625730906,14.09575203
slcr-46.2,Y43F8A.5,WBGene00012811,33.61249544,12.90353297,13.225241,3.805907811,6.19139486,14.44596534,25.88574203,20.32302922,28.90246217,9.891499053,9.898335596,4.233881939,11.60735315,5.294686266,9.947034078,18.64577212,5.812119365,63.82760559,6.950475405,7.046206377,8.715394855,4.388031627,5.051917432,11.72664574,22.54913721,4.769071178,6.407443491,6.596392831,15.92842678,6.109603972,13.0326645,5.654753926,4.209190497,10.65777595,11.78436263,9.677804246,9.392337232,10.0838562,3.520916484,25.72221041,5.496070141
